
0.002293;0.023939;0.078257;0.230182;0.360517;0.474972
0.001527;0.015514;0.053923;0.174868;0.276089;0.368175
0.001302;0.012612;0.044353;0.151299;0.242799;0.324880
0.001051;0.011016;0.038476;0.134534;0.219398;0.295686
0.000988;0.009849;0.034338;0.123150;0.201966;0.273170
0.000890;0.008644;0.031262;0.113973;0.188177;0.254788
0.000803;0.008161;0.029254;0.106389;0.175942;0.238943
0.000732;0.007483;0.026679;0.098878;0.165341;0.225003
0.000667;0.006857;0.024533;0.092273;0.154968;0.212345
0.000600;0.006400;0.022828;0.087405;0.146907;0.200803
0.000560;0.006053;0.021513;0.082155;0.138311;0.190176
0.000526;0.005536;0.020077;0.076878;0.131004;0.180296
0.000512;0.005249;0.018841;0.072417;0.123789;0.170887
0.000528;0.005084;0.018211;0.068612;0.116661;0.161997
0.000455;0.004641;0.016722;0.064316;0.110602;0.153303
0.000436;0.004412;0.016042;0.060743;0.104192;0.144995
0.000403;0.004129;0.015031;0.057362;0.098520;0.136920
0.000419;0.003846;0.013969;0.053645;0.092447;0.129110
0.000331;0.003492;0.012539;0.049833;0.086852;0.121371
0.000328;0.003409;0.011691;0.046402;0.081210;0.113780
0.000303;0.003108;0.011152;0.043467;0.075977;0.106299
0.000297;0.002871;0.010406;0.040446;0.070635;0.098777
0.000251;0.002642;0.009317;0.036909;0.064673;0.091209
0.000254;0.002587;0.008826;0.033682;0.059223;0.083697
0.000250;0.002241;0.007997;0.030350;0.053649;0.076065
0.000179;0.001940;0.006942;0.027463;0.048227;0.068318
0.000177;0.001737;0.006238;0.024138;0.042563;0.060243
0.000139;0.001509;0.005298;0.020929;0.036694;0.051795
0.000124;0.001222;0.004473;0.017207;0.030091;0.042513
0.000078;0.000949;0.003439;0.013334;0.023002;0.032060
0.000064;0.000684;0.002491;0.008884;0.014435;0.019491
0.000004;0.000204;0.000956;0.001959;0.000195;0.000000
#
0.004552;0.047452;0.129458;0.321518;0.501448;0.645018
0.002978;0.031820;0.097863;0.249827;0.393154;0.520938
0.002492;0.026887;0.083862;0.220297;0.347723;0.464757
0.002321;0.022992;0.074751;0.201810;0.317727;0.426006
0.001956;0.021091;0.068699;0.187663;0.294533;0.395341
0.001949;0.019328;0.063402;0.175202;0.275157;0.370136
0.001709;0.018262;0.058629;0.164936;0.258952;0.348596
0.001543;0.016637;0.055548;0.155926;0.244546;0.329469
0.001328;0.015573;0.051832;0.147591;0.231550;0.312349
0.001326;0.014184;0.048145;0.139991;0.219507;0.296397
0.001223;0.013603;0.046102;0.133715;0.208899;0.281858
0.001160;0.012560;0.043035;0.126139;0.198398;0.268208
0.001153;0.011722;0.040372;0.120300;0.189061;0.255283
